,SITE,PLOT,COORD,TREE,DEAD,Diameter,Height,SHELTER,Multistem,UngulateBrowse,RodentDamage,DieBack,PoorHealth,HighPLant,NaturalRegen,SAMPLE,GRNWT,NEEDLE_DRYWT,STEM_DRYWT,Combined_DRYWT,NOTES,SITE.1,State,Forest,District,X,Y,Unit..,TPA.Planted,Total.Acres.Planted,Season.Planted,Year.Planted,tmax,tavg,tmin,preci,vapr,wind,srad,elev,Elevation,pred_direct_gam,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,rsds,Eref,CMD,RH,CMI,DD1040
1,Buffalo Creek,3,1,12,0,12,19,19,0,0,0,0,0,0,1,0,NA,NA,NA,NA,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,23.18930931,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
2,Buffalo Creek,3,1,11,0,11,21,21,0,0,0,0,0,0,0,0,NA,NA,NA,NA,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,21.98215326,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
3,Buffalo Creek,24,1,8,0,11,21,21,0,0,0,0,0,0,0,0,NA,NA,NA,NA,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,21.98215326,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
4,Buffalo Creek,25,1,8,0,11,21,21,0,0,0,0,0,0,0,0,NA,NA,NA,NA,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,21.98215326,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
5,Buffalo Creek,3,1,13,0,11,18,18,0,0,0,0,0,0,0,0,NA,NA,NA,NA,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,18.95129314,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
6,Buffalo Creek,6,1,3,0,10,20,20,0,0,0,0,0,0,1,0,NA,NA,NA,NA,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,17.51316375,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
7,Buffalo Creek,17,1,3,0,10,15,15,0,0,0,0,0,0,1,0,NA,NA,NA,NA,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,13.6165969,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
8,Buffalo Creek,2,1,6,0,10,24,24,0,0,0,0,0,0,0,0,NA,NA,NA,NA,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,20.63041723,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
9,Buffalo Creek,5,1,4,0,10,13,13,0,0,0,0,0,0,0,0,NA,NA,NA,NA,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,12.05797016,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
10,Buffalo Creek,3,1,16,0,10,30,30,0,0,0,0,0,0,0,0,NA,NA,NA,NA,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,25.30629745,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
11,Buffalo Creek,22,1,4,0,10,15,15,0,0,0,0,0,0,0,0,NA,NA,NA,NA,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,13.6165969,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
12,Buffalo Creek,25,1,1,0,10,17,17,0,0,0,0,0,0,0,0,NA,NA,NA,NA,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,15.17522364,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
13,Buffalo Creek,6,1,2,0,10,16,16,0,0,0,0,0,0,0,0,NA,NA,NA,NA,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,14.39591027,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
14,Buffalo Creek,7,1,8,0,10,13,13,0,0,0,0,0,0,0,0,NA,NA,NA,NA,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,12.05797016,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
15,Buffalo Creek,22,1,2,0,9,14,14,1,0,0,0,0,0,0,0,NA,NA,NA,NA,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,10.76442076,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
16,Buffalo Creek,2,1,3,0,9,21,21,0,0,0,0,0,0,0,0,NA,NA,NA,NA,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,14.60280098,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
17,Buffalo Creek,7,1,3,0,9,18,18,0,0,0,0,0,0,0,0,NA,NA,NA,NA,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,12.95778089,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
18,Buffalo Creek,16,1,1,0,9,23,23,0,0,0,0,0,0,1,0,NA,NA,NA,NA,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,15.69948104,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
19,Buffalo Creek,21,1,1,0,9,20,20,0,0,0,0,0,0,0,0,NA,NA,NA,NA,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,14.05446095,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
20,Buffalo Creek,3,1,5,0,9,19,19,0,0,0,0,0,0,0,0,NA,NA,NA,NA,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,13.50612092,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
21,Buffalo Creek,16,1,3,0,9,18,18,0,0,0,0,0,0,0,0,NA,NA,NA,NA,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,12.95778089,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
22,Buffalo Creek,7,1,5,0,9,15,15,0,0,0,0,0,0,0,0,NA,NA,NA,NA,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,11.31276079,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
23,Buffalo Creek,24,1,10,0,9,10,10,0,0,0,0,0,0,0,0,NA,NA,NA,NA,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,8.571060637,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
24,Buffalo Creek,1,1,1,0,9,18,18,0,0,0,0,0,0,0,0,NA,NA,NA,NA,no shelters ,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,12.95778089,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
25,Buffalo Creek,3,1,8,0,9,16,16,0,0,0,0,0,0,0,0,NA,NA,NA,NA,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,11.86110082,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
26,Buffalo Creek,7,1,2,0,9,18,18,1,0,0,0,0,0,0,0,NA,NA,NA,NA,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,12.95778089,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
27,Buffalo Creek,11,1,2,0,9,8,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,7.474380575,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
28,Buffalo Creek,3,1,1,0,9,20,20,0,0,0,0,0,0,0,0,NA,NA,NA,NA,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,14.05446095,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
29,Buffalo Creek,2,1,4,0,8,18,18,0,0,0,0,0,0,0,1,30,5.68,4.77,10.45,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,9.961024761,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
