SITE,PLOT,COORD,TREE,DEAD,Diameter,Height,SHELTER,Multistem,UngulateBrowse,RodentDamage,DieBack,PoorHealth,HighPLant,NaturalRegen,SAMPLE,GRNWT,NEEDLE_DRYWT,STEM_DRYWT,Combined_DRYWT,NOTES,SITE,State,Forest,District,X,Y,Unit #,TPA Planted,Total Acres Planted,Season Planted,Year Planted,tmax,tavg,tmin,preci,vapr,wind,srad,elev,Elevation,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
Buffalo Creek,3,1,12,0,12.3,19,0,0,0,0,0,0,0,1,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,17,1,4,0,11.2,15,0,0,1,0,0,0,0,1,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,3,1,11,0,11,21,0,0,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,24,1,8,0,11,21,0,0,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,25,1,8,0,11,21,0,0,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,3,1,13,0,11,18,0,0,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,6,1,3,0,10.9,20,0,0,0,0,0,0,0,1,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,17,1,3,0,10.5,15,0,0,0,0,0,0,0,1,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,2,1,6,0,10.4,24,0,0,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,5,1,4,0,10.4,13,0,0,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,3,1,16,0,10.1,30,0,0,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,22,1,4,0,10.1,15,0,0,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,25,1,1,0,10,17,0,0,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,6,1,2,0,10,16,0,0,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,7,1,8,0,10,13,0,0,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,22,1,2,0,9.8,14,0,1,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,2,1,3,0,9.7,21,0,0,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,7,1,3,0,9.6,18,0,0,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,16,1,1,0,9.5,23,0,0,0,0,0,0,0,1,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,14,1,3,0,9.5,12,0,0,1,0,0,0,0,1,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,21,1,1,0,9.4,20,0,0,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,3,1,5,0,9.4,19,0,0,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
